NO,PIN,DESC
1,P1,SMB_ALERT#
2,P2,GND
3,P3,CSI1_CK+
4,P4,CSI1_CK-
5,P5,GBE1_SDP
6,P6,GBE0_SDP
7,P7,CSI1_RX0+
8,P8,CSI1_RX0-
9,P9,GND
10,P10,CSI1_RX1+
11,P11,CSI1_RX1-
12,P12,GND
13,P13,CSI1_RX2+
14,P14,CSI1_RX2-
15,P15,GND
16,P16,CSI1_RX3+
17,P17,CSI1_RX3-
18,P18,GND
19,P19,GBE0_MDI3-
20,P20,GBE0_MDI3+
21,P21,GBE0_LINK100#
22,P22,GBE0_LINK1000#
23,P23,GBE0_MDI2-
24,P24,GBE0_MDI2+
25,P25,GBE0_LINK_ACT#
26,P26,GBE0_MDI1-
27,P27,GBE0_MDI1+
28,P28,GBE0_CTREF
29,P29,GBE0_MDI0-
30,P30,GBE0_MDI0+
31,P31,SPI0_CS1#
32,P32,GND
33,P33,SDIO_WP
34,P34,SDIO_CMD
35,P35,SDIO_CD#
36,P36,SDIO_CK
37,P37,SDIO_PWR_EN
38,P38,GND
39,P39,SDIO_D0
40,P40,SDIO_D1
41,P41,SDIO_D2
42,P42,SDIO_D3
43,P43,SPI0_CS0#
44,P44,SPI0_CK
45,P45,SPI0_DIN
46,P46,SPI0_DO
47,P47,GND
48,P48,SATA_TX+
49,P49,SATA_TX-
50,P50,GND
51,P51,SATA_RX+
52,P52,SATA_RX-
53,P53,GND
54,P54,ESPI_CS0# / SPI1_CS0# / QSPI_CS0#
55,P55,ESPI_CS1# / SPI1_CS1# / QSPI_CS1#
56,P56,ESPI_CK / SPI1_CK / QSPI_CK
57,P57,ESPI_IO_1 / SPI1_DIN / QSPI_IO_1
58,P58,ESPI_IO_0 / SPI1_DO / QSPI_IO_0
59,P59,GND
60,P60,USB0+
61,P61,USB0-
62,P62,USB0_EN_OC#
63,P63,USB0_VBUS_DET
64,P64,USB0_OTG_ID
65,P65,USB1+
66,P66,USB1-
67,P67,USB1_EN_OC#
68,P68,GND
69,P69,USB2+
70,P70,USB2-
71,P71,USB2_EN_OC#
72,P72,RSVD
73,P73,RSVD
74,P74,USB3_EN_OC#
75,P75,PCIE_A_RST#
76,P76,USB4_EN_OC#
77,P77,PCIE_B_CKREQ#
78,P78,PCIE_A_CKREQ#
79,P79,GND
80,P80,PCIE_C_REFCK+
81,P81,PCIE_C_REFCK-
82,P82,GND
83,P83,PCIE_A_REFCK+
84,P84,PCIE_A_REFCK-
85,P85,GND
86,P86,PCIE_A_RX+
87,P87,PCIE_A_RX-
88,P88,GND
89,P89,PCIE_A_TX+
90,P90,PCIE_A_TX-
91,P91,GND
92,P92,HDMI_D2+ / DP1_LANE0+
93,P93,HDMI_D2- / DP1_LANE0-
94,P94,GND
95,P95,HDMI_D1+ / DP1_LANE1+
96,P96,HDMI_D1- / DP1_LANE1-
97,P97,GND
98,P98,HDMI_D0+ / DP1_LANE2+
99,P99,HDMI_D0- / DP1_LANE2-
100,P100,GND
101,P101,HDMI_CK+ / DP1_LANE3+
102,P102,HDMI_CK- / DP1_LANE3-
103,P103,GND
104,P104,HDMI_HPD / DP1_HPD
105,P105,HDMI_CTRL_CK / DP1_AUX+
106,P106,HDMI_CTRL_DAT / DP1_AUX-
107,P107,DP1_AUX_SEL
108,P108,GPIO0 / CAM0_PWR#
109,P109,GPIO1 / CAM1_PWR#
110,P110,GPIO2 / CAM0_RST#
111,P111,GPIO3 / CAM1_RST#
112,P112,GPIO4 / HDA_RST#
113,P113,GPIO5 / PWM_OUT
114,P114,GPIO6 / TACHIN
115,P115,GPIO7
116,P116,GPIO8
117,P117,GPIO9
118,P118,GPIO10
119,P119,GPIO11
120,P120,GND
121,P121,I2C_PM_CK
122,P122,I2C_PM_DAT
123,P123,BOOT_SEL0#
124,P124,BOOT_SEL1#
125,P125,BOOT_SEL2#
126,P126,RESET_OUT#
127,P127,RESET_IN#
128,P128,POWER_BTN#
129,P129,SER0_TX
130,P130,SER0_RX
131,P131,SER0_RTS#
132,P132,SER0_CTS#
133,P133,GND
134,P134,SER1_TX
135,P135,SER1_RX
136,P136,SER2_TX
137,P137,SER2_RX
138,P138,SER2_RTS#
139,P139,SER2_CTS#
140,P140,SER3_TX
141,P141,SER3_RX
142,P142,GND
143,P143,CAN0_TX
144,P144,CAN0_RX
145,P145,CAN1_TX
146,P146,CAN1_RX
147,P147,VDD_IN
148,P148,VDD_IN
149,P149,VDD_IN
150,P150,VDD_IN
151,P151,VDD_IN
152,P152,VDD_IN
153,P153,VDD_IN
154,P154,VDD_IN
155,P155,VDD_IN
156,P156,VDD_IN
157,S1,CSI1_TX+ / I2C_CAM1_CK
158,S2,CSI1_TX- / I2C_CAM1_DAT
159,S3,GND
160,S4,RSVD
161,S5,CSI0_TX+ / I2C_CAM0_CK
162,S6,CAM_MCK
163,S7,CSI0_TX- / I2C_CAM0_DAT
164,S8,CSI0_CK+
165,S9,CSI0_CK-
166,S10,GND
167,S11,CSI0_RX0+
168,S12,CSI0_RX0-
169,S13,GND
170,S14,CSI0_RX1+
171,S15,CSI0_RX1-
172,S16,GND
173,S17,GBE1_MDI0+
174,S18,GBE1_MDI0-
175,S19,GBE1_LINK100#
176,S20,GBE1_MDI1+
177,S21,GBE1_MDI1-
178,S22,GBE1_LINK1000#
179,S23,GBE1_MDI2+
180,S24,GBE1_MDI2-
181,S25,GND
182,S26,GBE1_MDI3+
183,S27,GBE1_MDI3-
184,S28,GBE1_CTREF
185,S29,PCIE_D_TX+ / SERDES_0_TX+
186,S30,PCIE_D_TX- / SERDES_0_TX-
187,S31,GBE1_LINK_ACT#
188,S32,PCIE_D_RX+ / SERDES_0_RX+
189,S33,PCIE_D_RX- / SERDES_0_RX-
190,S34,GND
191,S35,USB4+
192,S36,USB4-
193,S37,USB3_VBUS_DET
194,S38,AUDIO_MCK
195,S39,I2S0_LRCK
196,S40,I2S0_SDOUT
197,S41,I2S0_SDIN
198,S42,I2S0_CK
199,S43,ESPI_ALERT0#
200,S44,ESPI_ALERT1#
201,S45,MDIO_CLK
202,S46,MDIO_DAT
203,S47,GND
204,S48,I2C_GP_CK
205,S49,I2C_GP_DAT
206,S50,HDA_SYNC / I2S2_LRCK
207,S51,HDA_SDO / I2S2_SDOUT
208,S52,HDA_SDI / I2S2_SDIN
209,S53,HDA_CK / I2S2_CK
210,S54,SATA_ACT#
211,S55,USB5_EN_OC#
212,S56,ESPI_IO_2 / QSPI_IO_2
213,S57,ESPI_IO_3 / QSPI_IO_3
214,S58,ESPI_RESET#
215,S59,USB5+
216,S60,USB5-
217,S61,GND
218,S62,USB3_SSTX+
219,S63,USB3_SSTX
220,S64,GND
221,S65,USB3_SSRX+
222,S66,USB3_SSRX
223,S67,GND
224,S68,USB3+
225,S69,USB3-
226,S70,GND
227,S71,USB2_SSTX+
228,S72,USB2_SSTX
229,S73,GND
230,S74,USB2_SSRX+
231,S75,USB2_SSRX
232,S76,PCIE_B_RST#
233,S77,PCIE_C_RST#
234,S78,PCIE_C_RX+/SERDES_1_RX+
235,S79,PCIE_C_RX-/SERDES_1_RX
236,S80,GND
237,S81,PCIE_C_TX+/SERDES_1_TX+
238,S82,PCIE_C_TX-/SERDES_1_TX
239,S83,GND
240,S84,PCIE_B_REFCK+
241,S85,PCIE_B_REFCK
242,S86,GND
243,S87,PCIE_B_RX+
244,S88,PCIE_B_RX
245,S89,GND
246,S90,PCIE_B_TX+
247,S91,PCIE_B_TX-
248,S92,GND
249,S93,DP0_LANE0+
250,S94,DP0_LANE0-
251,S95,DP0_AUX_SEL
252,S96,DP0_LANE1+
253,S97,DP0_LANE1-
254,S98,DP0_HPD
255,S99,DP0_LANE2+
256,S100,DP0_LANE2-
257,S101,GND
258,S102,DP0_LANE3+
259,S103,DP0_LANE3-
260,S104,USB3_OTG_ID
261,S105,DP0_AUX+
262,S106,DP0_AUX-
263,S107,LCD1_BKLT_EN
264,S108,LVDS1_CK+ / eDP1_AUX+ / DSI1_CLK+
265,S109,LVDS1_CK- / eDP1_AUX- / DSI1_CLK-
266,S110,GND
267,S111,LVDS1_0+ / eDP1_TX0+ / DSI1_D0+
268,S112,LVDS1_0- / eDP1_TX0- / DSI1_D0-
269,S113,eDP1_HPD / DSI1_TE
270,S114,LVDS1_1+ / eDP1_TX1+ / DSI1_D1+
271,S115,LVDS1_1- / eDP1_TX1- / DSI1_D1-
272,S116,LCD1_VDD_EN
273,S117,LVDS1_2+ / eDP1_TX2+ / DSI1_D2+
274,S118,LVDS1_2- / eDP1_TX2- / DSI1_D2-
275,S119,GND
276,S120,LVDS1_3+ / eDP1_TX3+ / DSI1_D3+
277,S121,LVDS1_3- / eDP1_TX3- / DSI1_D3-
278,S122,LCD1_BKLT_PWM
279,S123,GPIO13
280,S124,GND
281,S-Pin,Secondary (Bottom) Side
282,S125,LVDS0_0+ / eDP0_TX0+ / DSI0_D0+
283,S126,LVDS0_0- / eDP0_TX0- / DSI0_D0-
284,S127,LCD0_BKLT_EN
285,S128,LVDS0_1+ / eDP0_TX1+ / DSI0_D1+
286,S129,LVDS0_1- / eDP0_TX1- / DSI0_D1-
287,S130,GND
288,S131,LVDS0_2+ / eDP0_TX2+ / DSI0_D2+
289,S132,LVDS0_2- / eDP0_TX2- / DSI0_D2-
290,S133,LCD0_VDD_EN
291,S134,LVDS0_CK+ / eDP0_AUX+ / DSI0_CLK+
292,S135,LVDS0_CK- / eDP0_AUX- / DSI0_CLK-
293,S136,GND
294,S137,LVDS0_3+ / eDP0_TX3+ / DSI0_D3+
295,S138,LVDS0_3- / eDP0_TX3- / DSI0_D3-
296,S139,I2C_LCD_CK
297,S140,I2C_LCD_DAT
298,S141,LCD0_BKLT_PWM
299,S142,GPIO12
300,S143,GND
301,S144,eDP0_HPD / DSI0_TE
302,S145,WDT_TIME_OUT#
303,S146,PCIE_WAKE#
304,S147,VDD_RTC
305,S148,LID#
306,S149,SLEEP#
307,S150,VIN_PWR_BAD#
308,S151,CHARGING#
309,S152,CHARGER_PRSNT#
310,S153,CARRIER_STBY#
311,S154,CARRIER_PWR_ON
312,S155,FORCE_RECOV#
313,S156,BATLOW#
314,S157,TEST#
